,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
118,600,S2,B-A,47.0,mem_K,mem_12,52.0,1.0,left,0.0309398116078227
119,601,S2,B-A,48.0,mem_K,mem_2,42.0,1.0,left,0.3932208718033507
120,602,S2,B-A,49.0,mem_K,mem_5,45.0,1.0,left,0.8122201473452151
121,603,S2,B-A,50.0,mem_K,mem_8,48.0,1.0,left,0.1582002666546031
122,604,S2,B-A,51.0,mem_K,mem_2,42.0,1.0,right,1.7478289761347696
123,605,S2,B-A,52.0,mem_K,mem_11,51.0,1.0,left,0.3601538259536028
124,606,S2,B-A,53.0,per_K,per_7,35.0,0.0,right,0.132388170924969
125,607,S2,B-A,54.0,mem_K,mem_12,52.0,1.0,left,0.2275520081166178
126,608,S2,B-A,55.0,per_K,per_12,40.0,1.0,left,0.061821870971471
127,609,S2,B-A,56.0,per_K,per_10,38.0,1.0,left,0.1579416998429224
128,610,S2,B-A,57.0,mem_K,mem_10,50.0,1.0,left,0.0179161896230652
129,611,S2,B-A,58.0,per_K,per_4,32.0,0.0,right,0.0931325227720663
130,612,S2,B-A,59.0,per_K,per_1,29.0,0.0,right,0.0601729458430781
131,613,S2,B-A,60.0,per_K,per_11,39.0,1.0,left,0.0130098350346088
132,614,S2,B-A,61.0,mem_K,mem_3,43.0,1.0,left,0.207376092672348
133,615,S2,B-A,62.0,per_K,per_8,36.0,0.0,right,0.0098598746117204
134,616,S2,B-A,63.0,mem_K,mem_1,41.0,1.0,right,1.101028436445631
135,617,S2,B-A,64.0,per_K,per_6,34.0,0.0,right,0.3798979410203174
136,618,S2,B-A,65.0,mem_K,mem_9,49.0,1.0,left,0.2314953132299706
137,619,S2,B-A,66.0,per_K,per_3,31.0,0.0,right,0.3369511384516954
138,620,S2,B-A,67.0,per_K,per_5,33.0,0.0,right,0.3185351459542289
139,621,S2,B-A,68.0,per_K,per_9,37.0,0.0,right,0.132291930145584
140,622,S2,B-A,69.0,mem_K,mem_6,46.0,1.0,right,1.0026046036509797
141,623,S2,B-A,70.0,mem_K,mem_4,44.0,1.0,right,0.4047521201428026
142,624,S2,B-A,71.0,mem_K,mem_7,47.0,1.0,left,0.1843751899432391
143,625,S2,B-A,72.0,per_K,per_2,30.0,0.0,right,0.4112724325386807
144,627,S2,K-A,1.0,mem_K,mem_5,45.0,0.0,right,0.4517181790433824
145,628,S2,K-A,2.0,per_K,per_12,40.0,1.0,left,0.0521110980771482
146,629,S2,K-A,3.0,per_K,per_7,35.0,1.0,left,0.4359250684501603
147,630,S2,K-A,4.0,mem_K,mem_3,43.0,0.0,right,0.1106630207505077
148,631,S2,K-A,5.0,per_K,per_6,34.0,1.0,left,0.3407775922678411
149,632,S2,K-A,6.0,mem_K,mem_9,49.0,0.0,right,0.3698307563317939
150,633,S2,K-A,7.0,per_K,per_1,29.0,1.0,left,0.1822895732475444
151,634,S2,K-A,8.0,mem_K,mem_1,41.0,0.0,right,0.1146111381240189
152,635,S2,K-A,9.0,mem_K,mem_4,44.0,0.0,right,0.0972223555436357
153,636,S2,K-A,10.0,mem_K,mem_6,46.0,0.0,right,0.023944953107275
154,637,S2,K-A,11.0,per_K,per_2,30.0,1.0,left,0.0342693421989679
155,638,S2,K-A,12.0,mem_K,mem_7,47.0,0.0,right,0.1865588140208274
156,639,S2,K-A,13.0,mem_K,mem_11,51.0,1.0,left,0.4628477826481685
157,640,S2,K-A,14.0,mem_K,mem_8,48.0,0.0,right,0.1347681260667741
